q,jpeg_diff,jpeg_size,webp_diff,webp_size,avif_diff,avif_size
89,2.42902,0.15652026298054847,2.39215,0.13024266081174637,1.70235,0.16674353465246297
90,2.24942,0.1880634073958933,2.23711,0.1417432022964268,1.59745,0.18403422960382138
91,2.11708,0.1988654898876841,2.13196,0.14971156609232134,1.59745,0.18403422960382138
92,2.02308,0.20878810717612928,2.01066,0.16212838760281306,1.48513,0.20302249692442836
93,1.90661,0.22628026101709128,1.86215,0.1752303738647485,1.36867,0.22666374875110828
94,1.77775,0.2491156772853568,1.7311,0.19294443927446167,1.36867,0.22666374875110828
95,1.64467,0.27441359612299016,1.60332,0.20695247922263457,1.26592,0.25322257525818953
96,1.46844,0.31376046026709153,1.50978,0.22100960560076166,1.26592,0.25322257525818953
97,1.28951,0.35469854284887414,1.39143,0.24263013272766132,1.14526,0.2927023818167501
98,1.07622,0.4056154875867577,1.33133,0.25437406109419786,1.03981,0.343031312029141
99,0.848,0.5002183323499003,1.25981,0.2715624926498184,1.03981,0.343031312029141
